id,Name,Property_type,Country,code,latitude,longitude,neighbourhood,Accomadates,Price,guests_included,Extra_people,min_nights,max_nights,Cancellation_policy,amenities,availability_365,bedrooms,beds,room_type,last_review,Reviews_count,review_score,host_listings,host_name,host_id,verified_host
0,Ribeira Charming Duplex,House,Portugal,PRT,41.1413,-8.61308,,8,80,6,15,2,30,moderate,"['TV', 'Cable TV', 'Wifi', 'Kitchen', 'Paid parking off premises', 'Smoking allowed', 'Pets allowed', 'Buzzer/wireless intercom', 'Heating', 'Family/kid friendly', 'Washer', 'First aid kit', 'Fire extinguisher', 'Essentials', 'Hangers', 'Hair dryer', 'Iron', 'Pack ’n Play/travel crib', 'Room-darkening shades', 'Hot water', 'Bed linens', 'Extra pillows and blankets', 'Microwave', 'Coffee maker', 'Refrigerator', 'Dishwasher', 'Dishes and silverware', 'Cooking basics', 'Oven', 'Stove', 'Cleaning before checkout', 'Waterfront']",239,3,5,Entire home/apt,20-01-2019 05:00,51,89,3,Ana&Gonçalo,51399391,TRUE
2,Ocean View Waikiki Marina w/prkg,Condominium,United States of America,USA,21.28634,-157.83919,Oʻahu,2,115,1,0,3,365,strict_14_with_grace_period,"['TV', 'Cable TV', 'Wifi', 'Air conditioning', 'Pool', 'Kitchen', 'Free parking on premises', 'Elevator', 'Hot tub', 'Washer', 'Dryer', 'Essentials', 'Shampoo', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'Self check-in', 'Lockbox', 'Hot water', 'Bed linens', 'Extra pillows and blankets', 'Ethernet connection', 'Microwave', 'Coffee maker', 'Refrigerator', 'Dishes and silverware', 'Cooking basics', 'Stove', 'BBQ grill', 'Garden or backyard', 'Well-lit path to entrance', 'Disabled parking spot', 'Step-free access', 'Wide clearance to bed', 'Step-free access']",343,1,1,Entire home/apt,07-02-2019 05:00,96,84,18,David,5448114,FALSE
3,Private Room in Bushwick,Apartment,United States of America,USA,40.69791,-73.93615,Brooklyn,1,40,1,0,14,1125,flexible,"['Internet', 'Wifi', 'Air conditioning', 'Kitchen', 'Buzzer/wireless intercom', 'Heating', 'Smoke detector', 'Carbon monoxide detector', 'Essentials', 'Lock on bedroom door']",0,1,1,Private room,31-01-2016 05:00,1,100,1,Josh,11275734,TRUE
5,New York City - Upper West Side Apt,Apartment,United States of America,USA,40.79962,-73.96523,Manhattan,2,135,1,0,12,360,strict_14_with_grace_period,"['Internet', 'Wifi', 'Air conditioning', 'Kitchen', 'Elevator', 'Buzzer/wireless intercom', 'Heating', 'Family/kid friendly', 'Washer', 'Dryer', 'translation missing: en.hosting_amenity_50']",93,1,1,Private room,12-08-2018 04:00,70,94,3,Greta,454250,TRUE
6,Copacabana Apartment Posto 6,Apartment,Brazil,BRA,-22.98433936,-43.19084919,Copacabana,4,119,3,40,3,75,strict_14_with_grace_period,"['TV', 'Cable TV', 'Internet', 'Wifi', 'Air conditioning', 'Kitchen', 'Paid parking off premises', 'Smoking allowed', 'Doorman', 'Elevator', 'Buzzer/wireless intercom', 'Family/kid friendly', 'Washer', 'Fire extinguisher', 'Essentials', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'Hot water', 'Bed linens', 'Extra pillows and blankets', 'Microwave', 'Coffee maker', 'Refrigerator', 'Dishes and silverware', 'Oven', 'Stove', 'Long term stays allowed', 'Wide hallway clearance', 'Host greets you']",118,1,3,Entire home/apt,28-01-2019 05:00,70,98,2,Ana Valéria,51530266,TRUE
7,Charming Flat in Downtown Moda,House,Turkey,TUR,40.98585,29.03133,Moda,6,527,1,211,2,1125,flexible,"['TV', 'Cable TV', 'Internet', 'Wifi', 'Kitchen', 'Free parking on premises', 'Pets allowed', 'Pets live on this property', 'Cat(s)', 'Heating', 'Family/kid friendly', 'Washer', 'Essentials', 'Shampoo', '24-hour check-in', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace']",362,2,6,Entire home/apt,02-04-2016 04:00,1,100,2,Zeynep,1241644,TRUE
8,Catete's Colonial Big Hause Room B,House,Brazil,BRA,-22.92638235,-43.18015675,Catete,8,250,4,40,2,1125,strict_14_with_grace_period,"['TV', 'Cable TV', 'Internet', 'Wifi', 'Air conditioning', 'Kitchen', 'Smoking allowed', 'Family/kid friendly', 'First aid kit', 'Fire extinguisher', 'Essentials']",296,1,8,Private room,10-02-2016 05:00,1,80,5,Beatriz,51326285,TRUE
10,Deluxe Loft Suite,Apartment,United States of America,USA,40.72778,-73.94472,Greenpoint,4,205,1,0,3,1125,strict_14_with_grace_period,"['TV', 'Cable TV', 'Internet', 'Wifi', 'Air conditioning', 'Kitchen', 'Doorman', 'Gym', 'Elevator', 'Heating', 'Family/kid friendly', 'Washer', 'Dryer', 'Smoke detector', 'Carbon monoxide detector', 'First aid kit', 'Fire extinguisher', 'Essentials', 'Shampoo', '24-hour check-in', 'Hangers', 'Hair dryer', 'Iron']",243,0,2,Entire home/apt,18-02-2018 05:00,5,88,13,Mae,47554473,FALSE
12,"Soho Cozy, Spacious and Convenient",Apartment,Hong Kong,CHN,22.28158,114.15027,Central & Western District,3,699,1,0,4,20,flexible,"['Air conditioning', 'Kitchen', 'Smoking allowed', 'Doorman', 'Elevator', 'Heating', 'Family/kid friendly', 'Essentials', '24-hour check-in', 'translation missing: en.hosting_amenity_50']",0,1,2,Entire home/apt,27-03-2018 04:00,3,100,1,Giovanni,51624384,FALSE
17,Be Happy in Porto,Loft,Portugal,PRT,41.15225,-8.61123,,2,30,1,0,2,1125,moderate,"['TV', 'Cable TV', 'Wifi', 'Kitchen', 'Smoking allowed', 'First aid kit', 'Fire extinguisher', 'Essentials', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'translation missing: en.hosting_amenity_49', 'translation missing: en.hosting_amenity_50', 'Hot water', 'Bed linens', 'Extra pillows and blankets', 'Microwave', 'Coffee maker', 'Refrigerator', 'Dishes and silverware', 'Cooking basics', 'Stove', 'Long term stays allowed', 'Well-lit path to entrance', 'Step-free access', 'Wide clearance to bed', 'Accessible-height bed', 'Step-free access', 'Step-free access', 'Handheld shower head', 'Paid parking on premises']",335,1,1,Entire home/apt,09-02-2019 05:00,178,97,3,Fábio,27518920,TRUE
18,City center private room with bed,Guesthouse,Hong Kong,CHN,22.3314,114.1669,Sham Shui Po District,1,181,1,100,1,500,strict_14_with_grace_period,"['TV', 'Wifi', 'Air conditioning', 'Kitchen', 'Elevator', 'First aid kit', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'Hot water', 'Microwave', 'Refrigerator', 'Dishes and silverware', 'Stove', 'Long term stays allowed', 'Host greets you']",220,1,1,Private room,01-03-2019 05:00,81,92,2,Yi,51744313,TRUE
19,Surry Hills Studio - Your Perfect Base in Sydney,Apartment,Australia,AUS,-33.88029,151.21554,Darlinghurst,2,181,1,0,10,21,strict_14_with_grace_period,"['TV', 'Wifi', 'Kitchen', 'Elevator', 'Heating', 'Washer', 'Dryer', 'Smoke detector', 'Essentials', 'Shampoo', 'Iron', 'Laptop friendly workspace', 'translation missing: en.hosting_amenity_49', 'translation missing: en.hosting_amenity_50', 'Hot water', 'Bed linens', 'Ethernet connection', 'Other']",0,0,1,Entire home/apt,18-03-2018 04:00,64,95,1,Ben,13764143,TRUE
